Type,Teff,Jstet,RMS_60m,LS_Period,LS_SNR,BLS_Period,BLS_SDE,VmKmag,w1mw4mag
MISC,2824.0,24.54821,0.03693,13.25381286,3213.49912,0.10409945,8.22046,6.81699943542479,0.6760001182556197
RR,7140.0,19.93179,0.2091,0.48489561,3349.26893,0.48532792,7.17384,0.7160005569458008,3.2200002670287997
MISC,2764.0,13.07764,0.02198,13.9165035,1118.95294,0.10409945,8.60182,7.08599948883059,1.2680001258850098
DSCT,7027.0,7.17917,0.05261,0.14458705,13078.23654,0.14461624,8.46914,1.0989999771118004,3.5360002517699893
MISC,5101.0,28.36983,0.03488,9.277669,378.16386,0.10409945,8.55862,2.252000808715799,4.08100032806394
MISC,5541.0,16.37722,0.03052,13.916504,2089.12908,0.10409945,8.68635,1.6510000228881996,5.491999626159709
DCEP,4994.0,6.59174,0.09339,8.18621471,22186.33952,8.21716001,11.1086,2.1329994201659996,3.67799949645997
DCEP,3055.0,0.41864,0.01166,3.61475558,742.86176,13.916809,9.38287,5.842000007629398,0.8050003051758114
MISC,3470.0,13.08056,0.02521,14.64927263,3157.14005,0.10409947,8.25454,4.69600009918213,0.33599996566772017
RR,4956.60009765625,0.50949,0.00387,0.68218157,2708.03725,0.68149152,9.80741,2.175000190734899,1.2100000381469798
RR,6101.0,11.09461,0.09084,0.69584045,4687.82957,0.69566946,9.27674,1.5970001220703,3.18999958038329
EC,5044.0,12.10552,0.08113,0.18061653,16250.68897,0.18052901,10.44393,2.1890001296997,2.713000297546431
RR,5200.0,0.47586,0.00364,0.85906228,2095.24644,0.85958969,9.53448,1.9770002365112003,2.41900062561038
RR,4748.0,0.82466,0.03458,0.46543492,1113.03232,0.46615916,7.60913,2.394001007080101,5.035000801086399
DCEP,5443.0,1.19686,0.02282,3.76129973,2920.24996,3.75614339,9.27591,1.9709997177123988,3.3499994277953906
ED,4644.0,0.60336,0.01484,0.83647946,155.52348,0.83793408,13.70937,2.4359998703003,3.2749996185302805
MISC,3349.0,4.76581,0.01167,13.25410429,1858.25502,0.10409947,8.73672,5.11100006103516,2.5939998626709
MISC,3512.0,1.90107,0.00756,11.5971375,3256.96569,13.01392209,11.20318,4.517000198364291,3.07800006866455
DCEP,4453.0,2.33588,0.04251,2.7833618,4580.73696,2.77065094,9.12221,2.6649999618531,3.7820005416869904
MISC,2833.0,18.02924,0.04338,14.64901579,3287.03456,0.10420759,8.06155,6.7760000228881605,0.8470001220703196
MISC,2525.0,9.25829,0.01914,14.64927316,3798.87926,13.9168095,8.38862,8.130000114440868,1.5149998664856001
RR,5182.0,0.22448,0.0103,0.63837174,696.34976,0.63814207,8.0364,1.9540004730224005,3.9630002975463707
EC,5769.0,2.20275,0.01989,0.15769755,7980.58785,0.31526974,10.03596,1.667000770568901,3.6520004272460795
DCEP,5721.0,11.99662,0.10978,15.46312111,23751.93091,13.916809,8.16968,2.1500005722046005,2.31000041961671
DCEP,5271.0,0.58507,0.00671,4.79889966,3294.44018,13.916809,9.86041,1.8740005493163991,2.0290002822875994
DSCT,6886.0,-0.10266,0.01237,0.21230831,84.13538,0.15805923,9.12052,0.8680000305176012,3.1789999008178906
DSCT,7419.0,-1.12438,0.00325,13.25387143,27.69682,0.10675814,9.41655,1.0249996185303,3.3640003204345703
ED,4641.0,1.49025,0.00523,1.22615062,427.62107,1.22032837,11.48468,2.5170001983642987,5.572000503540011
EC,4241.0,1.958,0.03062,0.15234268,4666.8438,0.30473534,11.30521,3.1590003967284996,3.88199996948239
MISC,3331.0,10.2243,0.0313,14.64895105,2999.56877,0.10409945,8.66002,5.19300031661992,0.38600015640258967
EC,5561.0,11.66006,0.06131,0.17075465,16439.39972,0.34156809,9.9025,1.6820001602172,1.8879995346069691
MISC,4739.0,49.34653,0.04979,14.64927263,2366.31802,0.10409947,8.53004,2.404000282287601,3.6759996414184606
EC,5476.0,0.28113,0.00858,0.11808658,2094.2324,0.23621257,9.99516,1.7020006179809997,4.750999450683601
RR,5504.0,0.24279,0.0155,0.46595836,591.99329,1.39869952,7.28962,1.6799993515014986,5.83099937438967
MISC,4452.5,2.10959,0.00437,7.13666872,192.91043,0.10409945,8.62741,4.532999515533451,1.3260002136230495
RR,5151.0,1.62803,0.02861,0.57344606,2309.57124,0.57420372,7.69765,1.9819993972778,4.409999847412109
MISC,3414.0,9.9288,0.01306,12.10130783,3903.45142,0.10409945,8.25885,4.84399986267095,0.2660002708435094
MISC,3072.0,26.53036,0.032,13.25381333,2732.95574,0.10409945,8.70123,5.760999679565411,0.375
MISC,4708.0,8.32539,0.01469,25.30317818,38856.1542,0.10426175,7.83631,2.4560003280639693,0.05700016021727983
MISC,3317.0,18.5556,0.02404,11.59708625,1260.70848,0.10420759,8.41804,5.2550001144409295,0.2000002861022896
MISC,5675.0,5.67304,0.02444,16.36043765,643.52944,13.906372,7.64564,1.7049999237060014,3.50899982452397
MISC,3231.0,16.22817,0.02118,11.5971375,2312.84274,0.10409946,8.34756,5.69699954986577,0.2669997215271005
MISC,3513.0,41.18101,0.08108,13.25410381,1593.99186,0.10409947,8.78357,4.5120000839233105,0.6389999389648402
RR,6447.0,1.83275,0.0348,0.55005945,2778.36571,0.54907892,9.35931,1.420000076293901,5.3239994049072
RR,7409.0,2.21036,0.05093,0.36733476,3112.44063,0.36717557,8.79261,0.6029996871947993,5.940000534057571
ED,7821.0,4.6713,0.02563,0.52121738,1395.54696,1.04274808,10.69641,0.4460000991821005,2.0939998626709215
EC,4094.0,-0.18748,0.00461,0.14381413,313.51695,0.14388692,9.75871,3.1889991760253995,3.7750005722045596
EC,5654.0,10.80091,0.03111,0.18793801,12313.95589,0.37614662,9.03093,1.7109994888306002,3.8009996414184304
MISC,5879.0,20.00071,0.02848,12.65136727,777.66907,0.10409945,8.05268,1.5010004043579013,3.0450000762939204
DCEP,5823.0,3.75461,0.07139,4.03385768,10917.32521,8.21724508,9.20341,1.4429998397827006,3.8860006332397994
DCEP,6396.0,1.35916,0.08981,2.72872627,517.74725,13.916504,8.46719,1.0849990844725994,5.67100048065187
DCEP,5304.0,2.72223,0.03137,3.09255644,15814.0485,3.11472335,10.7304,1.927000045776401,3.6929998397827095
MISC,3298.0,34.79962,0.04678,13.25381333,2831.6261,0.10409945,8.76194,5.220999717712401,0.21000003814697
MISC,6619.0,1.094,0.00315,12.65136727,282.93067,0.10409945,8.22142,0.9860000610351598,0.3330001831054705
MISC,3016.0,30.44726,0.02729,9.59779931,1550.228,0.10409947,7.70483,6.1199998855590705,0.27399992942810014
DCEP,7333.0,0.17428,0.00231,4.48929323,2197.57424,4.51722688,8.93981,0.6339998245238991,0.49100017547606
MISC,5762.0,6.43437,0.01434,11.016504,2033.01583,12.88621728,9.79449,1.4860000610351012,5.031000137329091
MISC,4380.0,2.2831,0.00661,14.64895105,2322.41627,13.01386831,12.38985,2.7600002288819,2.1470003128052184
MISC,3552.0,5.83817,0.02558,14.64895158,2946.05253,0.10409945,8.29634,4.393000602722131,2.58100032806397
RR,5858.0,0.55822,0.00631,0.3146238,2644.17342,0.31476979,9.18516,1.6169996261596005,2.6599998474121396
ED,6102.0,-0.27643,0.00183,0.85054263,21.48916,0.85224782,15.72523,1.3179998397827006,2.3700008392334304
EC,6153.0,0.53098,0.01815,0.14750195,1347.20599,0.14748645,9.97144,1.2280006408691015,5.88500022888179
MISC,5639.0,4.51593,0.02535,14.61637789,524.27663,0.10420585,7.42046,1.576000213622999,5.46899986267095
DSCT,6500.0,-0.19645,0.01719,0.28518051,118.76635,0.16360102,9.66437,1.0279998779297,5.64300060272215
DCEP,4591.0,0.79659,0.00845,4.63893633,3023.61326,9.36826362,9.42988,2.497000694274899,1.8210000991821094
MISC,4848.0,1.48345,0.00651,14.62730053,390.05146,13.8959355,9.21126,2.035000801086431,0.1340007781982493
ED,5374.0,1.05034,0.02471,0.3964816,604.11725,0.79174885,10.083,1.7859992980956996,4.33599948883057
MISC,3428.0,7.61804,0.01506,11.1332028,1089.37104,12.22119231,7.7595,4.7420001029968,1.5450000762939498
MISC,3514.0,5.21572,0.00686,11.133252,1280.52014,11.51957837,8.17329,5.304999828338601,0.23099994659424006
MISC,5474.0,9.5495,0.01567,18.55533867,6665.84948,0.10420759,7.81202,1.7040004730225,3.75599956512454
EC,6444.0,4.09781,0.01533,0.13670436,12329.57143,0.27357281,10.10249,1.1470003128052007,2.2810001373291193
EC,4938.0,0.39538,0.01008,0.26462544,1637.14528,0.52880357,9.69492,2.1900005340575994,4.369000434875531
EC,5545.0,2.17717,0.01834,0.20632326,3193.91541,0.41249146,9.30699,1.7420005798340004,3.3830003738403196
EC,5374.0,4.05513,0.04787,0.1376539,11625.83133,0.13757593,10.11344,1.7860002517700995,4.375999450683571
MISC,6107.0,0.38814,0.00657,8.97842903,326.19225,0.10409946,7.94196,1.4680004119872994,2.6210002899169904
ED,4496.0,2.69341,0.02323,0.25997436,1470.99201,0.26042691,11.71648,2.6099996566772994,3.019999504089361
EC,5624.0,-0.06449,0.00251,0.17212745,1466.69421,0.34450042,10.26961,1.6020002365111985,2.8889999389647993
DCEP,7330.0,2.11454,0.0454,3.97324914,1863.55792,12.21337821,7.60521,0.6750001907348988,5.45300006866457
DSCT,6071.0,3.38725,0.01468,1.8934019,11148.98859,0.17733781,8.54897,1.34799957275386,0.5170001983642614
DCEP,5411.0,0.96753,0.01342,3.12737281,6156.27054,3.16385358,8.64733,2.0069999694825,2.6089992523193413
RR,5959.0,5.09099,0.0708,0.6369249,2774.20785,0.63611954,9.42033,1.411999702453599,4.050000190734901
EC,5470.0,0.31579,0.01481,0.13799211,1544.7755,0.13795427,10.39266,1.7069997787475994,5.1560001373291104
DSCT,4806.0,-0.2181,0.00304,7.1367,58.41891,0.18118109,9.125,2.2630004882812003,3.2449998855590394
RR,5995.0,1.39316,0.00752,0.6750666,413.62599,0.6745936,9.88106,1.5359992980957013,4.193999290466289
ED,5080.0,0.28487,0.01976,0.18050336,789.15809,0.36124751,12.01341,2.048999786377001,5.342000007629389
MISC,4977.10009765625,2.09757,0.00952,14.64901579,782.15642,0.10409946,8.83746,2.34999942779541,0.21199989318848012
MISC,5592.0,-0.1164,0.00129,13.916748,432.58385,0.1042076,8.99889,1.6440000534058008,1.3669996261596715
MISC,3461.0,6.29448,0.01596,25.30273455,9917.84036,13.01386874,8.03262,4.36800003051759,0.25
ED,5849.0,-0.04456,0.01008,0.37354828,120.15916,0.37333196,13.52289,1.3909997940062997,5.61999988555905
MISC,4733.0,5.60476,0.01544,13.25381333,3731.04826,0.10409945,8.04106,2.410000801086401,5.557999610900861
MISC,3266.0,40.76123,0.03915,25.30273455,20491.16537,0.10426174,8.09498,5.1820001602173305,0.30000019073485973
EC,5870.0,10.43688,0.07723,0.19288717,12460.42284,0.19284869,11.41524,1.4109992980956996,2.6490001678466886
MISC,3417.0,8.15056,0.03744,12.65136682,264.9718,0.10409945,7.64999,4.841000080108661,0.34700012207030984
RR,6012.0,-0.17233,0.00302,0.64727926,221.27017,13.01386874,7.51389,1.4700002670287997,2.6729993820190607
MISC,3059.0,40.63107,0.03315,13.25410381,1601.65726,0.10409947,8.62727,6.172999858856169,0.2799997329711905
EC,4450.0,4.04129,0.04577,0.12874014,14547.92477,0.12874801,10.648,2.6689996719359996,3.43400001525883
EC,4643.0,0.32861,0.01667,0.13465413,554.98966,0.26916873,10.49396,2.4370002746581996,4.9079999923705895
RR,5623.0,3.06073,0.01666,0.59727485,2387.60883,0.59818894,9.33327,1.7510004043579013,1.7880001068114701
EC,5101.0,13.08774,0.06416,0.16372358,13934.58556,0.32762466,9.97868,2.216000556945799,1.5069999694824094
EC,5574.0,-0.06278,0.0044,0.12662879,1109.0874,0.25320376,10.35788,1.633999824523901,4.20600032806397
MISC,3211.0,35.53448,0.03639,12.65136727,3262.65819,0.10409945,8.70704,5.81900024414067,0.45699977874756037
RR,6344.0,11.19036,0.20241,0.60905072,1933.95196,0.60908492,8.2049,0.9009990692137997,4.55600070953369
EC,4651.0,-0.23022,0.00573,0.1178392,262.57876,0.11785778,11.37855,2.506000518798901,3.720000267028791
EC,6758.0,0.88001,0.02095,0.20023747,1809.55476,0.4001517,11.25233,1.1239995956421005,4.97699928283695
MISC,3556.0,20.1887,0.03398,11.59729,1385.58556,0.10409947,7.74848,4.380000114440939,0.25
ED,5464.0,1.50782,0.031,0.89497164,700.54027,1.7848061,12.33424,1.7119998931885014,4.252000808715831
ED,4997.0,0.66673,0.01886,0.16696972,1987.25382,0.16686046,11.94069,2.0789995193481,4.782999992370559
ED,5827.0,-0.01475,0.0107,0.58428853,132.41077,1.17041898,12.64462,1.7539997100830007,3.8190002441406588
DCEP,5977.0,0.45149,0.00644,3.61475558,1907.78291,7.31811515,9.13773,1.6169996261597,1.6450004577636896
EC,5165.0,0.84718,0.00863,0.12511081,2644.52882,0.12505582,10.17279,2.131999969482399,4.418000221252431
DCEP,3684.0,0.73355,0.01248,3.19926644,2271.29598,3.16385358,9.10769,4.0469999313353995,1.8979997634887908
MISC,3225.0,12.78093,0.01331,16.37271706,15661.22724,0.10409947,7.57971,5.17899990081787,0.21500015258788974
MISC,5512.0,5.62757,0.00572,12.65164455,1744.60273,13.01413546,9.00325,1.5960006713868005,3.7619991302490003
RR,5721.0,0.04313,0.00798,0.58064184,318.98101,0.58085343,9.14263,1.6350002288818004,3.79699993133541
RR,6529.0,6.5313,0.10799,0.63837174,2563.03165,0.63814207,8.73425,1.4890003204346005,5.34599971771237
MISC,4493.0,10.58511,0.01739,11.59708667,1761.83197,0.10409945,7.54782,2.7000007629394016,4.5390005111694105
RR,6207.0,7.39407,0.17472,0.51258965,3449.57607,0.51260665,8.56245,1.1949996948243005,4.8339996337891105
MISC,3195.0,18.1856,0.02991,11.59708667,2252.15442,13.01386874,10.237,5.921000003814649,0.5639996528625506
DCEP,4243.0,7.05637,0.1812,8.97858645,8326.7168,8.95036074,9.50389,3.0460004806518004,2.4140005111694602
EC,5545.0,1.26724,0.0191,0.15645311,7752.33203,0.15645693,10.01154,1.6929998397826989,4.50699996948239
EC,6153.0,0.9346,0.025,0.18383757,2799.3307,0.36787062,10.15013,1.2279996871947993,5.621000289916971
MISC,3658.0,12.40127,0.0234,13.9168095,3068.42244,0.10409947,8.92521,4.09599971771235,0.2140002250671298
DCEP,4406.0,3.85148,0.07541,4.03385768,9519.65567,8.21724508,9.07516,2.8150005340575994,3.57699966430666
DSCT,8242.0,-0.31406,0.02485,14.64927316,1242.9773,0.13222672,8.86781,0.6500005722046005,4.7189998626708505
MISC,4322.0,4.31067,0.01709,12.65136727,138.76039,0.10420759,8.86085,2.8390007019043004,1.1849994659424006
EC,5977.0,1.65105,0.00963,0.17538127,10902.07244,0.17547667,10.21052,1.3870000839233008,1.8339996337890803
RR,6959.0,9.43259,0.1169,0.54256565,3600.12693,0.54166776,7.18074,1.4359998703003,4.01799964904783
MISC,3232.0,12.69019,0.0109,11.77074045,1898.12338,11.46775072,11.33455,5.309000492095949,0.3329999446868901
MISC,4108.0,13.72242,0.1353,13.25381286,472.4327,0.10409945,8.69462,3.1660003662109997,4.298000335693391
EC,4825.0,20.87906,0.10828,0.21070112,12793.60892,0.21066723,10.47134,2.2439994812012003,3.8289995193481694
RR,5030.0,0.39683,0.01945,0.52416211,510.71462,0.52330175,7.91683,2.0970001220703,4.7329998016356996
DCEP,5263.0,0.11103,0.0046,3.56841256,535.8347,3.55640988,8.38728,1.8809995651244993,1.6050004959106392
