Type,Teff,Jstet,RMS_60m,LS_Period,LS_SNR,BLS_Period,BLS_SDE,VmKmag,w1mw4mag
RR,4696.0,5.72424,0.05885,0.47987945,2603.24112,0.47952836,7.66098,2.378999710082999,3.57600021362304
GDOR,5460.0,-0.0507,0.00765,14.64927263,435.49318,13.916809,10.34483,1.7849998474120987,4.210000038146999
RR,6448.0,0.28468,0.00538,0.48489561,1094.77374,0.48532792,8.32695,1.036999702453599,2.6729993820190288
MISC,3208.0,25.27547,0.02021,14.64901579,2503.32609,0.10409946,8.28748,5.708000183105499,0.38800001144409
EC,6558.0,18.07307,0.05171,0.55445456,9906.41667,0.55362454,9.47305,1.0780000686646003,0.8699998855590803
DCEP,4190.0,0.86362,0.00947,3.81282438,3607.05374,7.59513471,10.30328,3.1269998550416,1.2049999237060796
DCEP,4235.0,0.59035,0.01293,5.45745255,733.60842,5.36226045,9.17649,3.0590000152587,2.8610000610351207
RR,7152.0,-0.16566,0.00137,0.51638234,367.17237,0.51391921,7.78041,0.8299999237059996,2.2170000076294105
ED,4963.0,1.41835,0.03384,0.35603215,1162.42108,0.71289061,9.02835,2.1639995574950994,4.06199932098389
ED,5998.0,-0.24994,0.0008,0.27186837,223.88122,0.2717164,13.24625,1.4240007400512995,1.194999694824201
EC,6171.0,2.19849,0.03192,0.37209904,4322.85873,0.74472898,9.63681,1.3350000381469993,4.87899971008301
ED,5174.0,0.32139,0.01575,0.31308907,647.88906,0.62619312,12.3656,1.960999488830501,3.7989997863769496
CST,5872.0,-0.29586,0.00453,6.958252,30.23196,0.11070468,4.34263,1.6129999160766992,4.0799999237060405
RR,5734.0,0.11815,0.00623,0.61713987,710.44511,0.61657114,10.37014,1.5839996337890998,3.1790008544921697
CST,5914.0,16.00344,0.01877,13.25381333,3470.39084,0.10409945,8.62415,1.3809995651244993,4.26900005340581
MISC,3767.0,1.30322,0.00747,14.64895158,1315.28447,0.10409945,8.62368,3.829000473022511,0.4149999618530309
MISC,3769.0,6.31428,0.02207,15.46278222,3117.06899,0.10409945,8.57809,3.82399940490726,0.1540002822876003
RR,6959.0,9.43259,0.1169,0.54256565,3600.12693,0.54166776,7.18074,1.4359998703003,4.01799964904783
MISC,3637.0,-0.04698,0.00086,12.00195304,738.27875,10.82393174,7.55293,4.15099954605106,1.6189999580383292
DCEP,4253.0,0.01506,0.00323,3.92022789,1626.88236,11.51974555,9.08898,3.0310001373291,0.7939996719360192
EC,4859.0,3.06176,0.01077,0.1201252,13992.26788,0.12011554,9.97492,2.271999359130799,1.8930006027221309
EC,5065.0,0.35147,0.0151,0.14746948,1112.29408,0.14748528,9.97424,2.0629997253418004,4.274999618530259
ED,6102.0,-0.27643,0.00183,0.85054263,21.48916,0.85224782,15.72523,1.3179998397827006,2.3700008392334304
